Link,Game Name,Joke Name
https://www.youtube.com/embed/SvpP1ruu10Y?controls=0,Super Mario World,Harlem Shake
https://www.youtube.com/embed/EmaPiC0rVS8?controls=0,Super Smash Bros. Melee,Crank That
https://www.youtube.com/embed/ggB0gzJ9Nqg?controls=0,Super Smash Bros. UItimate,Bangarang
https://www.youtube.com/embed/-VhJxMILbXM?controls=0,Undertale,Walking on the Sun
https://www.youtube.com/embed/c5fFT_KpBJ8?controls=0,Sonic Adventure 2,Irony
https://www.youtube.com/embed/mNgrWBqpRNs?controls=0,Sonic the Hedgehog 3 & Knuckles,Carry On Wayward Son
https://www.youtube.com/embed/OmcPHuQj8mw?controls=0,Donkey Kong Country 2,Sad Machine
https://www.youtube.com/embed/AVzXqJDQSTs?controls=0,Super Mario RPG,Bad Apple
https://www.youtube.com/embed/_6NtkVXyjh8?controls=0,Super Smash Bros. Brawl,Astronaut in the Ocean
https://www.youtube.com/embed/zVj1FVnKIvE?controls=0,Kirby Super Star,Once Upon a Time
https://www.youtube.com/embed/Z8v-jBVc9pk?controls=0,Super Smash Bros. for Wii U,Krabby Patty Formula
https://www.youtube.com/embed/lA2UX6k5lJk?controls=0,Sonic Adventure 2,ambiguous
